category,grouping,num_id,id,name,orderable,sell_value,sell_currency,buy_value,buy_currency,sources,customizable,recipe,recipe_id,games_id,id_full,image_url
Photos,decoration,80,als-poster,Al's Poster,,250,bells,1000,bells,,,,,nh,,
Furniture,decoration,81,alto-saxophone,Alto Saxophone,,850,bells,3400,bells,,,,,nh,item-alto-saxophone,https://villagerdb.com/images/items/thumb/alto-saxophone.efadc81.png
Furniture,decoration,82,aluminum-briefcase,Aluminum Briefcase,,25000,bells,100000,bells,,,,,nh,item-aluminum-briefcase,https://villagerdb.com/images/items/thumb/aluminum-briefcase.5781d35.png
Flooring,decoration,83,aluminum-rug,Aluminum Rug,,375,bells,1500,bells,,,,,nh,,
Fossils,critters,86,amber,Amber,FALSE,1200,bells,,,Underground (dig spot),,,,nh,item-amber,https://villagerdb.com/images/items/thumb/amber.5dcc331.png
Photos,decoration,87,amelias-photo,Amelia's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,88,amelias-poster,Amelia's Poster,,250,bells,1000,bells,,,,,nh,,
Fossils,critters,93,ammonite,Ammonite,FALSE,1100,bells,,,Underground (dig spot),,,,nh,item-ammonite,https://villagerdb.com/images/items/thumb/ammonite.2724f54.png
Furniture,decoration,94,amp,Amp,TRUE,1275,bells,5100,bells,Nook's Cranny,FALSE,,,nh,item-amp,https://villagerdb.com/images/items/thumb/amp.63f1df1.png
Photos,decoration,95,anabelles-photo,Anabelle's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,96,anabelles-poster,Anabelle's Poster,,250,bells,1000,bells,,,,,nh,,
Furniture,decoration,97,analog-kitchen-scale,Analog Kitchen Scale,,275,bells,1100,bells,,,,,nh,item-analog-kitchen-scale,https://villagerdb.com/images/items/thumb/analog-kitchen-scale.edc922a.png
Furniture,decoration,98,anatomical-model,Anatomical Model,TRUE,875,bells,3500,bells,,,,,nh,item-anatomical-model,https://villagerdb.com/images/items/thumb/anatomical-model.694fb2e.png
Furniture,decoration,99,anchor-statue,Anchor Statue,,1400,bells,5600,bells,,,,,nh,item-anchor-statue,https://villagerdb.com/images/items/thumb/anchor-statue.784fe28.png
Furniture,decoration,101,anchovy-model,Anchovy Model,,600,bells,,,,,,,nh,item-anchovy-model,https://villagerdb.com/images/items/thumb/anchovy-model.5786f18.png
Fish,critters,102,anchovy,Anchovy,FALSE,200,bells,,,"North: Small Shadows at Sea, All Year (4am-9pm)",,,,nh,item-anchovy,https://villagerdb.com/images/items/thumb/anchovy.dba0237.png
Fish,critters,102,anchovy,Anchovy,FALSE,200,bells,,,"South: Small Shadows at Sea, All Year (4am-9pm)",,,,nh,item-anchovy,https://villagerdb.com/images/items/thumb/anchovy.dba0237.png
Photos,decoration,103,anchovys-photo,Anchovy's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,104,anchovys-poster,Anchovy's Poster,,250,bells,1000,bells,,,,,nh,,
Hats,clothes,105,ancient-administrator-hat,Ancient Administrator Hat,,800,bells,3200,bells,,,,,nh,item-ancient-administrator-hat,https://villagerdb.com/images/items/full/ancient-administrator-hat.8a25a8c.png
Dresses,clothes,106,ancient-belted-robe,Ancient Belted Robe,,910,bells,3640,bells,,,,,nh,item-ancient-belted-robe,https://villagerdb.com/images/items/full/ancient-belted-robe.b2df95e.png
Dresses,clothes,108,ancient-sashed-robe,Ancient Sashed Robe,,630,bells,2520,bells,,,,,nh,item-ancient-sashed-robe,https://villagerdb.com/images/items/full/ancient-sashed-robe.aaa58bf.png
Wallpaper,decoration,111,ancient-wall,Ancient Wall,,750,bells,3000,bells,,,,,nh,,
Furniture,decoration,112,angelfish-model,Angelfish Model,,9000,bells,,,,,,,nh,item-angelfish-model,https://villagerdb.com/images/items/thumb/angelfish-model.45ab44c.png
Fish,critters,113,angelfish,Angelfish,FALSE,3000,bells,,,"North: Small Shadows on River, May-Oct (4pm-9am)",,,,nh,item-angelfish,https://villagerdb.com/images/items/thumb/angelfish.59d0504.png
Fish,critters,113,angelfish,Angelfish,FALSE,3000,bells,,,"South: Small Shadows on River, Nov-Apr (4pm-9am)",,,,nh,item-angelfish,https://villagerdb.com/images/items/thumb/angelfish.59d0504.png
Furniture,decoration,114,angled-signpost,Angled Signpost,,600,bells,2400,bells,,TRUE,2,hardwood,nh,item-angled-signpost,https://villagerdb.com/images/items/thumb/angled-signpost.d6b791b.png
Furniture,decoration,114,angled-signpost,Angled Signpost,,600,bells,2400,bells,,TRUE,3,softwood,nh,item-angled-signpost,https://villagerdb.com/images/items/thumb/angled-signpost.d6b791b.png
Photos,decoration,115,anguss-photo,Angus's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,116,anguss-poster,Angus's Poster,,250,bells,1000,bells,,,,,nh,,
Photos,decoration,117,anicottis-photo,Anicotti's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,118,anicottis-poster,Anicotti's Poster,,250,bells,1000,bells,,,,,nh,,
Music,misc,119,animal-city,Animal City,,800,bells,3200,bells,,,,,nh,,
Tops,clothes,120,animal-print-coat,Animal-print Coat,,580,bells,2320,bells,,,,,nh,item-animal-print-coat,https://villagerdb.com/images/items/full/animal-print-coat.9756d66.png
Bottoms,clothes,121,animal-stripes-skirt,Animal-stripes Skirt,TRUE,275,bells,1100,bells,,,,,nh,item-animal-stripes-skirt,https://villagerdb.com/images/items/full/animal-stripes-skirt.623de44.png
Tops,clothes,122,animal-stripes-tee,Animal-stripes Tee,,240,bells,960,bells,,,,,nh,item-animal-stripes-tee,https://villagerdb.com/images/items/full/animal-stripes-tee.1b4ab41.png
Photos,decoration,124,ankhas-photo,Ankha's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,125,ankhas-poster,Ankha's Poster,,250,bells,1000,bells,,,,,nh,,
Fossils,critters,127,ankylo-skull,Ankylo Skull,FALSE,3500,bells,,,Underground (dig spot),,,,nh,item-ankylo-skull,https://villagerdb.com/images/items/thumb/ankylo-skull.12aecbf.png
Fossils,critters,128,ankylo-tail,Ankylo Tail,FALSE,2500,bells,,,Underground (dig spot),,,,nh,item-ankylo-tail,https://villagerdb.com/images/items/thumb/ankylo-tail.d926a5b.png
Fossils,critters,129,ankylo-torso,Ankylo Torso,FALSE,3000,bells,,,Underground (dig spot),,,,nh,item-ankylo-torso,https://villagerdb.com/images/items/thumb/ankylo-torso.9c9813a.png
Photos,decoration,130,annalisas-photo,Annalisa's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,131,annalisas-poster,Annalisa's Poster,,250,bells,1000,bells,,,,,nh,,
Photos,decoration,132,annalises-photo,Annalise's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,133,annalises-poster,Annalise's Poster,,250,bells,1000,bells,,,,,nh,,
Tops,clothes,134,annyeong-tee,Annyeong Tee,TRUE,160,bells,640,bells,Nook Shopping,,,,nh,item-annyeong-tee,https://villagerdb.com/images/items/full/annyeong-tee.628f8e0.png
Fossils,critters,135,anomalocaris,Anomalocaris,FALSE,2000,bells,,,Underground (dig spot),,,,nh,item-anomalocaris,https://villagerdb.com/images/items/thumb/anomalocaris.58e5284.png
Tops,clothes,136,anorak-jacket,Anorak Jacket,TRUE,350,bells,1400,bells,Able Sisters,,,,nh,item-anorak-jacket,https://villagerdb.com/images/items/full/anorak-jacket.411373f.png
Furniture,decoration,137,ant-farm,Ant Farm,,350,bells,1400,bells,,,,,nh,item-ant-farm,https://villagerdb.com/images/items/thumb/ant-farm.a4b7bd0.png
Furniture,decoration,138,ant-model,Ant Model,,240,bells,,,,,,,nh,item-ant-model,https://villagerdb.com/images/items/thumb/ant-model.a4e39e0.png
Bugs,critters,139,ant,Ant,FALSE,80,bells,320,bells,,,,,nh,item-ant,https://villagerdb.com/images/items/thumb/ant.654241e.png
Furniture,decoration,140,anthurium-plant,Anthurium Plant,TRUE,247,bells,990,bells,,,,,nh,item-anthurium-plant,https://villagerdb.com/images/items/thumb/anthurium-plant.486b1e2.png
Furniture,decoration,141,antique-bed,Antique Bed,TRUE,7000,bells,28000,bells,,,,,nh,item-antique-bed,https://villagerdb.com/images/items/thumb/antique-bed.44de40a.png
Shoes,clothes,142,antique-boots,Antique Boots,,660,bells,2640,bells,,,,,nh,item-antique-boots,https://villagerdb.com/images/items/full/antique-boots.1ece19a.png
Furniture,decoration,143,antique-bureau,Antique Bureau,TRUE,5000,bells,20000,bells,,,,,nh,item-antique-bureau,https://villagerdb.com/images/items/thumb/antique-bureau.dd47c41.png
Furniture,decoration,144,antique-chair,Antique Chair,TRUE,2500,bells,10000,bells,,,,,nh,item-antique-chair,https://villagerdb.com/images/items/thumb/antique-chair.92bec1c.png
Furniture,decoration,145,antique-clock,Antique Clock,TRUE,11000,bells,44000,bells,,,,,nh,item-antique-clock,https://villagerdb.com/images/items/thumb/antique-clock.b70c34c.png
Furniture,decoration,146,antique-console-table,Antique Console Table,TRUE,4250,bells,17000,bells,,,,,nh,item-antique-console-table,https://villagerdb.com/images/items/thumb/antique-console-table.4f90323.png
Furniture,decoration,147,antique-mini-table,Antique Mini Table,TRUE,1675,bells,6700,bells,Nook's Cranny,,,,nh,item-antique-mini-table,https://villagerdb.com/images/items/thumb/antique-mini-table.cb20989.png
Furniture,decoration,148,antique-phone,Antique Phone,,4000,bells,16000,bells,,,,,nh,item-antique-phone,https://villagerdb.com/images/items/thumb/antique-phone.66cecb2.png
Furniture,decoration,150,antique-table,Antique Table,TRUE,6250,bells,25000,bells,,,,,nh,item-antique-table,https://villagerdb.com/images/items/thumb/antique-table.a3c9dcc.png
Furniture,decoration,151,antique-vanity,Antique Vanity,TRUE,7750,bells,31000,bells,,,,,nh,item-antique-vanity,https://villagerdb.com/images/items/thumb/antique-vanity.ed5f291.png
Furniture,decoration,152,antique-wardrobe,Antique Wardrobe,TRUE,9250,bells,37000,bells,,,,,nh,item-antique-wardrobe,https://villagerdb.com/images/items/thumb/antique-wardrobe.470a3de.png
Photos,decoration,153,antonios-photo,Antonio's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,154,antonios-poster,Antonio's Poster,,250,bells,1000,bells,,,,,nh,,
Dresses,clothes,155,ao-dai,Áo Dài,TRUE,630,bells,2520,bells,,,,,nh,item-ao-dai,https://villagerdb.com/images/items/full/ao-dai.d0e274f.png
Photos,decoration,160,apollos-photo,Apollo's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,161,apollos-poster,Apollo's Poster,,250,bells,1000,bells,,,,,nh,,
Furniture,decoration,162,apple-chair,Apple Chair,,2480,bells,9920,bells,,,,,nh,item-apple-chair,https://villagerdb.com/images/items/thumb/apple-chair.e9dacd0.png
Dresses,clothes,163,apple-dress,Apple Dress,FALSE,1600,bells,6400,bells,,FALSE,8,apple,nh,item-apple-dress,https://villagerdb.com/images/items/full/apple-dress.effc3f8.png
Hats,clothes,164,apple-hat,Apple Hat,,1000,bells,4000,bells,,,,,nh,item-apple-hat,https://villagerdb.com/images/items/full/apple-hat.f53c0b3.png
Flooring,decoration,165,apple-rug,Apple Rug,,1200,bells,4800,bells,,,,,nh,,
Umbrellas,clothes,166,apple-umbrella,Apple Umbrella,,1400,bells,5600,bells,,,,,nh,item-apple-umbrella,https://villagerdb.com/images/items/full/apple-umbrella.d43dbbb.png
Wallpaper,decoration,167,apple-wall,Apple Wall,,4000,bells,16000,bells,,,,,nh,,
Fruit,misc,168,apple,Apple,FALSE,100,bells,400,bells,Shaking fruit tree,,,,nh,item-apple,https://villagerdb.com/images/items/thumb/apple.2b0f79c.png
Fruit,misc,168,apple,Apple,FALSE,100,bells,400,bells,Nook's Cranny,,,,nh,item-apple,https://villagerdb.com/images/items/thumb/apple.2b0f79c.png
Photos,decoration,169,apples-photo,Apple's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,170,apples-poster,Apple's Poster,,250,bells,1000,bells,,,,,nh,,
Bottoms,clothes,171,apron-skirt,Apron Skirt,,175,bells,700,bells,,,,,nh,item-apron-skirt,https://villagerdb.com/images/items/full/apron-skirt.fa97145.png
Tops,clothes,172,apron,Apron,TRUE,210,bells,840,bells,Able Sisters,,,,nh,item-apron,https://villagerdb.com/images/items/full/apron.1559aa7.png
Flooring,decoration,175,aqua-tile-flooring,Aqua Tile Flooring,TRUE,225,bells,900,bells,Nook's Cranny,,,,nh,,
Wallpaper,decoration,176,aqua-tile-wall,Aqua Tile Wall,,355,bells,1420,bells,,,,,nh,,
Usables,misc,177,aquarius-fragment,Aquarius Fragment,,500,bells,,,,,,,nh,item-aquarius-fragment,https://villagerdb.com/images/items/thumb/aquarius-fragment.03ea684.png
Furniture,decoration,178,aquarius-urn,Aquarius Urn,,22125,bells,88500,bells,,,,,nh,item-aquarius-urn,https://villagerdb.com/images/items/thumb/aquarius-urn.d3492c0.png
Flooring,decoration,179,arabesque-flooring,Arabesque Flooring,,530,bells,2120,bells,,,,,nh,,
Hats,clothes,180,aran-knit-cap,Aran-knit Cap,TRUE,220,bells,880,bells,,,,,nh,item-aran-knit-cap,https://villagerdb.com/images/items/full/aran-knit-cap.05679ab.png
Tops,clothes,181,aran-knit-cardigan,Aran-knit Cardigan,,325,bells,1300,bells,,,,,nh,item-aran-knit-cardigan,https://villagerdb.com/images/items/full/aran-knit-cardigan.fcc01b3.png
Socks,decoration,182,aran-knit-socks,Aran-knit Socks,,180,bells,720,bells,,,,,nh,item-aran-knit-socks,https://villagerdb.com/images/items/full/aran-knit-socks.a224c4f.png
Tops,clothes,183,aran-knit-sweater,Aran-knit Sweater,,300,bells,1200,bells,,,,,nh,item-aran-knit-sweater,https://villagerdb.com/images/items/full/aran-knit-sweater.02a497c.png
Furniture,decoration,184,arapaima-model,Arapaima Model,,30000,bells,,,,,,,nh,item-arapaima-model,https://villagerdb.com/images/items/thumb/arapaima-model.11495d1.png
Fish,critters,185,arapaima,Arapaima,FALSE,10000,bells,,,"North: Huge Shadows on River, June-Sep (4pm-9am)",,,,nh,item-arapaima,https://villagerdb.com/images/items/thumb/arapaima.3e7876c.png
Fish,critters,185,arapaima,Arapaima,FALSE,10000,bells,,,"South: Huge Shadows on River, Dec-Mar (4pm-9am)",,,,nh,item-arapaima,https://villagerdb.com/images/items/thumb/arapaima.3e7876c.png
Furniture,decoration,187,arcade-combat-game,Arcade Combat Game,,16000,bells,64000,bells,,,,,nh,item-arcade-combat-game,https://villagerdb.com/images/items/thumb/arcade-combat-game.cb8ac28.png
Furniture,decoration,188,arcade-fighting-game,Arcade Fighting Game,,16000,bells,64000,bells,,,,,nh,item-arcade-fighting-game,https://villagerdb.com/images/items/thumb/arcade-fighting-game.e2a4a74.png
Furniture,decoration,190,arcade-mahjong-game,Arcade Mahjong Game,TRUE,16000,bells,64000,bells,,,,,nh,item-arcade-mahjong-game,https://villagerdb.com/images/items/thumb/arcade-mahjong-game.1d71499.png
Furniture,decoration,191,arcade-seat,Arcade Seat,,325,bells,1300,bells,,,,,nh,item-arcade-seat,https://villagerdb.com/images/items/thumb/arcade-seat.2eb8a8e.png
Fossils,critters,192,archaeopteryx,Archaeopteryx,FALSE,1300,bells,,,Underground (dig spot),,,,nh,item-archaeopteryx,https://villagerdb.com/images/items/thumb/archaeopteryx.c316303.png
Flooring,decoration,194,arched-brick-flooring,Arched-brick Flooring,TRUE,275,bells,1100,bells,Nook's Cranny,,,,nh,,
Wallpaper,decoration,195,arched-window-wall,Arched-window Wall,TRUE,537,bells,2150,bells,Nook's Cranny,,,,nh,,
Fossils,critters,198,archelon-skull,Archelon Skull,FALSE,4000,bells,,,Underground (dig spot),,,,nh,item-archelon-skull,https://villagerdb.com/images/items/thumb/archelon-skull.b8b81ce.png
Fossils,critters,199,archelon-tail,Archelon Tail,FALSE,3500,bells,,,Underground (dig spot),,,,nh,item-archelon-tail,https://villagerdb.com/images/items/thumb/archelon-tail.4459ec6.png
Socks,decoration,205,argyle-crew-socks,Argyle Crew Socks,,180,bells,720,bells,,,,,nh,item-argyle-crew-socks,https://villagerdb.com/images/items/full/argyle-crew-socks.6264a56.png
Tops,clothes,209,argyle-sweater,Argyle Sweater,,300,bells,1200,bells,,,,,nh,item-argyle-sweater,https://villagerdb.com/images/items/full/argyle-sweater.cc0b0fa.png
Flooring,decoration,211,argyle-tile-flooring,Argyle Tile Flooring,TRUE,437,bells,1750,bells,Nook's Cranny,,,,nh,,
Tops,clothes,212,argyle-vest,Argyle Vest,TRUE,360,bells,1440,bells,Able Sisters,,,,nh,item-argyle-vest,https://villagerdb.com/images/items/full/argyle-vest.ca97cb5.png
Usables,misc,213,aries-fragment,Aries Fragment,,500,bells,,,,,,,nh,item-aries-fragment,https://villagerdb.com/images/items/thumb/aries-fragment.6f9dc5b.png
Furniture,decoration,214,aries-rocking-chair,Aries Rocking Chair,FALSE,12125,bells,48500,bells,,FALSE,3,star-fragment,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
Furniture,decoration,214,aries-rocking-chair,Aries Rocking Chair,FALSE,12125,bells,48500,bells,,FALSE,2,aries-fragment,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
Furniture,decoration,214,aries-rocking-chair,Aries Rocking Chair,FALSE,12125,bells,48500,bells,,FALSE,1,gold-nugget,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
Furniture,decoration,214,aries-rocking-chair,Aries Rocking Chair,FALSE,12125,bells,48500,bells,,FALSE,5,stone,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
Shoes,clothes,216,armor-shoes,Armor Shoes,,3000,bells,12000,bells,,,,,nh,item-armor-shoes,https://villagerdb.com/images/items/full/armor-shoes.dfa1b25.png
Furniture,decoration,218,aroma-pot,Aroma Pot,FALSE,600,bells,,,,TRUE,3,clay,nh,item-aroma-pot,https://villagerdb.com/images/items/thumb/aroma-pot.8c2a92f.png
Furniture,decoration,219,arowana-model,Arowana Model,,30000,bells,,,,,,,nh,item-arowana-model,https://villagerdb.com/images/items/thumb/arowana-model.e05090e.png
Fish,critters,220,arowana,Arowana,FALSE,10000,bells,,,"North: Large Shadows on River, June-Sep (4pm-9am)",,,,nh,item-arowana,https://villagerdb.com/images/items/thumb/arowana.362db99.png
Fish,critters,220,arowana,Arowana,FALSE,10000,bells,,,"South: Large Shadows on River, Dec-Mar (4pm-9am)",,,,nh,item-arowana,https://villagerdb.com/images/items/thumb/arowana.362db99.png
Furniture,decoration,222,artisanal-bug-cage,Artisanal Bug Cage,,450,bells,1800,bells,,,,,nh,item-artisanal-bug-cage,https://villagerdb.com/images/items/thumb/artisanal-bug-cage.46f1375.png
Flooring,decoration,223,artsy-parquet-flooring,Artsy Parquet Flooring,TRUE,450,bells,1800,bells,Nook's Cranny,,,,nh,,
Furniture,decoration,225,asteroid,Asteroid,,4000,bells,16000,bells,,,,,nh,item-asteroid,https://villagerdb.com/images/items/thumb/asteroid.affc3a0.png
Photos,decoration,226,astrids-photo,Astrid's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,227,astrids-poster,Astrid's Poster,,250,bells,1000,bells,,,,,nh,,
Dresses,clothes,233,astro-dress,Astro Dress,,625,bells,2500,bells,,,,,nh,item-astro-dress,https://villagerdb.com/images/items/full/astro-dress.8f9dba0.png
Furniture,decoration,242,astronaut-suit,Astronaut Suit,,6250,bells,25000,bells,,,,,nh,item-astronaut-suit,https://villagerdb.com/images/items/thumb/astronaut-suit.1ce42bc.png
Tops,clothes,243,athletic-jacket,Athletic Jacket,TRUE,240,bells,960,bells,Able Sisters,,,,nh,item-athletic-jacket,https://villagerdb.com/images/items/full/athletic-jacket.7dd2801.png
Bottoms,clothes,244,athletic-pants,Athletic Pants,,220,bells,880,bells,,,,,nh,item-athletic-pants,https://villagerdb.com/images/items/full/athletic-pants.957ff11.png
Bottoms,clothes,245,athletic-shorts,Athletic Shorts,TRUE,140,bells,560,bells,,,,,nh,item-athletic-shorts,https://villagerdb.com/images/items/full/athletic-shorts.66fd71a.png
Bugs,critters,246,atlas-moth,Atlas Moth,FALSE,3000,bells,12000,bells,,,,,nh,item-atlas-moth,https://villagerdb.com/images/items/thumb/atlas-moth.bb9d6bd.png
Dresses,clothes,247,attus-robe,Attus Robe,,630,bells,2520,bells,,,,,nh,item-attus-robe,https://villagerdb.com/images/items/full/attus-robe.ae2d9b2.png
Photos,decoration,248,audies-photo,Audie's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,249,audies-poster,Audie's Poster,,250,bells,1000,bells,,,,,nh,,
Photos,decoration,253,auroras-photo,Aurora's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,254,auroras-poster,Aurora's Poster,,250,bells,1000,bells,,,,,nh,,
Fossils,critters,255,australopith,Australopith,FALSE,1100,bells,,,Underground (dig spot),,,,nh,item-australopith,https://villagerdb.com/images/items/thumb/australopith.977bbc4.png
Furniture,decoration,256,autograph-cards,Autograph Cards,,350,bells,1400,bells,,,,,nh,item-autograph-cards,https://villagerdb.com/images/items/thumb/autograph-cards.031ba6a.png
Furniture,decoration,257,automatic-washer,Automatic Washer,TRUE,1125,bells,4500,bells,,,,,nh,item-automatic-washer,https://villagerdb.com/images/items/thumb/automatic-washer.9405355.png
Wallpaper,decoration,260,autumn-wall,Autumn Wall,,4700,bells,18800,bells,,,,,nh,,
Photos,decoration,261,avas-photo,Ava's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,262,avas-poster,Ava's Poster,,250,bells,1000,bells,,,,,nh,,
Photos,decoration,263,averys-photo,Avery's Photo,,10,bells,40,bells,,,,,nh,,
